name,free_returns,items_sold,items_status,items_shipping,price
45 PCS Screwdriver Set Torx Tool For MacBook iPhone PC Tablet Laptop Repair Tool,False,,Brand New,0,930
New ListingTiny Screwdrivers 6PCS Precision Screwdriver Set Small Screwdriver Set,True,,Brand New,0,1209
Cross Point Impact Screwdriver Fits #2 Japanese Industrial Standard JIS Philips,True,,Brand New,0,2165
98pc Security Bit Screwdriver Bit Set Torx Star Pozi Hex Tamper Proof Bolts,False,420,Brand New,,1899
Great Working Tools 26 Piece Screwdriver Set - Magnetic Steel Tip Blades & Rack,True,357,Brand New,0,2999
PROMOTIONAL SNAP ON  TOOLS SLOTTED POCKET SCREWDRIVER & PHILLIPS TOP  5 PCS NEW,True,,Brand New,0,1799
,False,,,,
"NEW ( 8 PC ) Magnetic Phillips, Flat and Star Precision Screwdriver Set",False,0,Brand New,0,1000
"12"" inch Extra Long Ph2 Philips #2 Screwdriver Screw Driver",True,314,Brand New,0,739
10 PC Hex Key Allen Wrench Set Folding Portable Locking Screwdriver H1.5 - H6,True,,Brand New,0,699
Milwaukee 48-22-2610 6 Pc Torx Precision Screwdriver Set W/ Case,True,0,Brand New,500,2199
2pcs SET MINI SHORT STUBBY PHILLIPS SLOTTED SCREWDRIVER TOOL KIT SET USEFUL ,True,57,Brand New,,595
45 in 1 Torx Hex Precision Screwdriver Set  For Watch Cell Phone Laptop Repair,True,1702,Brand New,,1099
 Precision Screwdriver Set Eyeglass Watch Repair Cell Micro Small.,False,,Brand New,0,481
8 Piece Right Angle Offset Screwdriver Ratcheting Tool Set Hex Bit,True,,Brand New,0,850
"(USA) Eazypower 35554 Lime 4-in-1 Screwdriver #1/#2 Phillips, 4-5/8-10 Slotted",False,,Brand New,,1199
8pcs Torx Screwdriver Bit Set Hex Security Magnetic Head 100MM Extra Long IN USA,True,,Brand New,0,887
Klein Tools MAG2 Magnetizer and Demagnetizer for Screwdriver Bits and Tips,True,270,Brand New,0,1121
"3pk 7/16"" Mag Nut Driver",False,0,Brand New,0,1374
"2 PCS Magnetic Screwdriver,Phillips Screwdriver with Ergonomic Comfortable",False,,Brand New,,715
New Listing110 in1 Precision Screwdriver Set Non-Slip Magnetic Electronics Repair Tools Kit,False,,Brand New,0,1899
CRAFTSMAN TOOLS 6pc 3/8 phillips / flat blade screwdriver socket wrench bit set ,True,,Brand New,,1244
12Pcs Torx Head Screw Driver Bits Set Security Tamper Proof 1/4 Hex Shank T5-T40,False,,Brand New,0,698
"7Pcs Magnetic Anti-Slip Cross Drill Bit Screwdriver Drill Bits 1/4"" Hex Shank",True,,Brand New,0,998
2x Phillips #00 8800C PH00 Precision Screwdriver for Macbook Pro Repair Tool US,False,76,Brand New,,299
"14/7Pcs 1/4"" Hex Shank Keychain Screwdriver Drill Bit Holder Extension Bar Set",True,,Brand New,0,1198
"Stanley 6-in-1 Screwdriver (2 Slotted, 2 Phillips, 2 Nut Drivers)",False,103,Brand New,0,599
Screwdriver Set (6-Piece),False,0,Brand New,0,1934
