name,free_returns,items_sold,items_status,items_shipping,price
Brzrkr (Berzerker) #4 Boom Studios Cover F Grampa Virgin 1:25 Variant,False,0,,499,499
New ListingVengeance Of Vampirella #18 & Trial Of The Soul (Dynamite) Free Combine Shipping,False,,New (Other),499,199
"New ListingSpace Adventures - Mixed Lot of 9 comic books, Marvel & DC (L020)",False,,Pre-Owned,445,1800
GUN HONEY #2 MCGINNIS VIRGIN VARIANT 2021 TITAN COMICS 10/20/21 NM,True,0,,475,379
HUGE 100 COMIC BOOK LOT-MARVEL DC INDIES- FREE Shipping! VF to NM ALL N0 Dupes,True,0,,0,8999
HOUSE OF SLAUGHTER #1 Cover C Shehan FOIL - Limited and Allocated ,False,,Brand New,0,598
BATMAN CATWOMAN #1 MATTINA EXCLUSIVE VARIANT 2021 BLACK LABEL DC COMICS NM ,True,,,475,1899
,False,,,,
🚨🔥😱 DC VS VAMPIRES #1 JORGE MOLINA 1:25 Card Stock Ratio Variant NM,False,0,Brand New,425,1399
🚨🔥🦇 VAMPIVERSE #1 CELINA 616 Virgin Variant A LTD 500 COA Vampirella,False,20,Brand New,425,1999
ROBINS #1 Main Cover + Tarr Card Stock Variant Set DC NM 11/16 PreSale,True,,Brand New,595,805
Looney Tunes Vol 3 #253 DC Comics (2020) NM 1st Print Comic Book,True,,New (Other),299,458
New ListingDetective Comics 575 NM 9.4 * 1 Book * Batman Year Two! 1st Reaper! Alan Davis!,True,,,750,99
THOR #15 KAEL NGU EXCLUSIVE VIRGIN VARIANT 2021 MARVEL COMICS NM,True,,,475,2999
New ListingLot of (5) DIFFERENT marvel Comic Books,False,,New (Other),1035,1200
New ListingMarvel superheroes secret wars vintage comic book lot All Keys,False,,New (Other),500,10000
New ListingSUPERMAN #75 MEMORIAL SET DC (1992) Death Of Sealed Polybagged 1st Print,False,,New (Other),489,499
"New ListingDawn Sirius Comic Books Lot #1,2,3,4,5,6 Volume 1 Complete Set 1995",False,,,0,2499
"New ListingInvincible Red Sonja #1, 2 Frank Cho 1:20 Variant (Dynamite￼) Free Combine Ship",False,,New (Other),499,199
Detective Comics No.27 Special Edition Reprint 1st Batman Facsimile Never Open ,False,,Brand New,,9999
New ListingNew Mutants # 26 NM Marvel Comic Book X-Men Wolverine Storm Warlock Storm J577,True,,,498,99
🔥🦇 DC VS. VAMPIRES #1 MASSAFERA Trade Dress Batgirl Homage Variant LTD 3000,False,0,Brand New,425,1499
100 Comic Book HUGE lot - All DIFFERENT - Only MARVEL Comics - FREE Shipping!,True,0,,0,14999
New ListingUltimate Fallout Facsimile #4 CGC 9.8 Clayton Crain Virgin Variant Marvel Comics,False,,New (Other),0,11499
BARBARELLA #4 CVR Q MUSABEKOV 1:15 VIRGIN VARIANT 2021 DYNAMITE 10/27/21 NM,True,,,475,599
"New Listing4 Comic Books - Spawn #18, Fantastic 4 #400, Ghost Rider 2099 #2, Flash #100",False,,,1000,1000
Barbarella #1 - 4 You Pick From Main & Variant Covers Dynamite Comics 2021,False,0,Brand New,431,399
New ListingNew Teen Titans # 1 NM DC Comic Book Raven Cyborg Flash Robin Wonder Girl J577,True,,,498,99
"New ListingComic Books, Multiple Variations, Old, New, Lots, Marvel, DC",False,,New (Other),985,100000
New ListingSpider-Woman #20 CGC 9.2 NM- WP 1st Spider-Man Meeting MCU HOT KEY Marvel Comics,False,,New (Other),2000,9999
"New ListingX-Men 1 Facsimile (2019, Marvel) CGC 9.8 1ST X-MEN & MAGNETO Christmas Gift Idea",True,,,2365,11100
New ListingAMAZING SPIDER-MAN #394 (1994) NM Comic Book. THE TRAVELLER Collector’s Edition,False,,New (Other),870,7900
MIRKA ANDOLFO SWEET PAPRIKA #4 (OF 12) CVR E ANDOLFO (MR),False,,New (Other),425,450
"New ListingX-Men #75 (Marvel, 1998)",False,,,0,909
New ListingDetective Comics 452 FN 6.0 * 1 Book * Batman! Hawkman! Jose Luis Garcia-Lopez!,True,,,750,99
Phenom X #1 Cover A B Variant Set Option Leguizamo McFarlane Image Presale 11/10,True,0,,425,659
PHENOM X #1 1 :10 McFarlane B&W Variant Cover  | Image | Avail 11/10| Optioned,False,,Brand New,459,1079
COMIC BOOK LOT - BOX  - VF/NM  Raw Books Marvel DC Image - Free Shipping,False,,Pre-Owned,0,3000
New ListingBatman 406 VF 8.0 * 1 Book * Year One! Catwoman Origin! Miller & Mazzucchelli!,True,,,750,99
New ListingBatman 427 NM 9.2 * 1 Book * Joker Kills Jason Todd - Robin! Death in the Family,True,,,750,99
WHATS THE FURTHEST PLACE FROM HERE #2 DLX ED 7 INCH RECORD | Image |  12/8,False,0,Brand New,599,1498
